開課序號,開課代碼,系所,組,年,班,全英語,MOOCS,限性別,中文課程名稱,英文課程名稱,學分,必/選,全/半,教師,地點時間,限修人數,選修人數,限修條件,備註,學期
383,PCC0064,心輔系（碩）,,,碩博,,,,心理衡鑑專題研究,Special Topics in Psychological  Assessment,3.0,選,半,陳秀蓉,一 6-8 本部 教500,50,21,◎課程不開放上修,,1112
385,PCC0073,心輔系（碩）,,,碩博,,,,認知與情緒,Cognition and Emotion,3.0,選,半,陳學志,四 8-10 本部 教育學院第1會議室,50,34,◎課程不開放上修,,1112
388,PCC0116,心輔系（碩）,,,碩博,,,,青少年心理學研究,Studies in Adolescent Psychology,3.0,選,半,程景琳,一 6-8 本部 教600,50,11,◎課程不開放上修,,1112
465,SPC0033,特教系（碩）,,,碩博,,,,情緒障礙專題研究,Special Topics on Emotional and Behavioral Disorders,3.0,選,半,洪儷瑜,二 10-B 本部 特116,30,11,◎課程開放上修,,1112
642,PCC9001,心輔系（學）,,,大碩,,,,生態系統合作實務,Ecological Collaboration Practice,2.0,選,半,王麗斐,四 3-4 本部 教育學院第1會議室,50,29,◎必須先修過【PCU0146  學校輔導工作】,,1112
672,SOU0127,社教系（學）,,,,,,,文教節目企劃與製作,Planning and Production of Cultural and Educational Programs,3.0,選,半,侯志欽,二 2-4 本部 教714,30,27,,此課程為大三選修,1112
673,SOU0138,社教系（學）,,,,,,,生命敘說與故事行銷,Life Narrative and Storytelling Marketing,2.0,選,半,徐敏雄,一 3-4 本部 誠302,50,50,,此課程為大四選修課程,1112
674,SOU0139,社教系（學）,,,,,,,傳統文化與現代生活,Traditional Culture and Modern Life,2.0,選,半,陳仲彥,四 3-4 本部 誠302,50,51,,此課程為大二選修,1112
675,SOU0055,社教系（學）,,1.0,,,,,數位攝影與後製作,Digital Image Process,2.0,選,半,華志中,五 8-9 本部 教103,50,50,,,1112
676,SOU0137,社教系（學）,,1.0,,,,,中華典籍與傳統文化,Chinese Classics & Traditional Culture,2.0,選,半,陳仲彥,二 3-4 本部 誠302,50,48,,,1112
677,SOU5005,社教系（學）,,1.0,,,,,社會問題,Social Problems,2.0,選,半,王美文,二 6-7 本部 誠208,50,70,,,1112
678,SOU5029,社教系（學）,,1.0,,,,,社區教育,Community Education,2.0,必,半,張德永,二 8-9 本部 誠208,50,64,,,1112
679,SOU5061,社教系（學）,,1.0,,,,,社會心理學,Social Psychology,3.0,必,半,王雅鈴,四 6-8 本部 誠208,50,62,,,1112
680,SOU0061,社教系（學）,,2.0,,,,,博物館教育,Museum Education,3.0,選,半,蔡怡怡,五 2-4 本部 誠302,50,50,,,1112
681,SOU0097,社教系（學）,,2.0,,,,,文化創意產業導論,Introduction to Culture Creative Industry,2.0,必,半,廖世璋,四 8-9 本部 樸401,50,55,,,1112
682,SOU0112,社教系（學）,,2.0,,,,,文化資產概論,Introduction to Cultural Heritage,2.0,選,半,蕭文杰,五 6-7 本部 誠208,50,55,,,1112
683,SOU0121,社教系（學）,,2.0,,,,,社會行銷,Social Marketing,2.0,選,半,林鴻洲,二 3-4 本部 綜509國際會議廳,50,53,,,1112
684,SOU0049,社教系（學）,,3.0,,,,,社會教育政策,Adult and Continuing Education Policies,2.0,必,半,鄭勝分,三 6-7 本部 誠208,50,55,,,1112
685,SOU0102,社教系（學）,,3.0,,,,,社會教育實務專題,Topics on Practice of Adult & Continuing Education,2.0,選,半,李明芳,二 A-B 本部 誠306,50,32,,,1112
686,SOU0128,社教系（學）,,3.0,,,,,設計思考,Design Thinking,2.0,選,半,郭郡羽,二 8-9 本部 樸401,50,68,,,1112
687,SOU3114,社教系（學）,,3.0,,是,,,紀錄片製作,Documentary Production,2.0,選,半,張振維,三 A-B 本部 誠306,35,25,,此課程為全英語授課(EMI),1112
688,SOU0114,社教系（學）,,4.0,,,,,社會投資導論,Introduction to Social Investment,2.0,選,半,鄭勝分,四 3-4 本部 教714,50,19,,,1112
412,ECM0004,課程所（碩）,,,,,,,師資培育研究,Studies in Teacher Education,3.0,選,半,郝永崴,一 6-8 本部 教804,30,10,◎課程不開放上修,,1112
413,ECM0021,課程所（碩）,,,,,,,適性教學研究,Studies in Theories and Practices on Adaptive Instruction Design,3.0,選,半,湯仁燕,二 2-4 本部 教804,30,16,◎課程不開放上修,,1112
414,ECC8006,課程所（碩）,,,碩博,,,,多元文化回應教學與課程研究,Studies in Culturally Responsive Teaching and Multicultural Curriculum,3.0,選,半,黃純敏,三 6-8 本部 教804,30,5,◎課程不開放上修,,1112
415,ECC8007,課程所（碩）,,,碩博,,,,教師教學研究,Studies in Teacher Teaching,3.0,選,半,甄曉蘭,二 7-9 本部 教804,30,16,◎課程不開放上修,,1112
1475,L0C9009,文學院,,,大碩,,,,高行健的文學與藝術（進階）,The Literature and Art of Gao Xingjian (Advanced),2.0,選,半,李志宏 蘇子中 白適銘 何康國 吳義芳,四 3-4 本部 教201演講廳,50,18,,,1112
1566,TCM3033,臺文系（碩）,,,,,,,臺灣民間文學專題研究,Special Topics on Taiwan Folk Literature,3.0,選,半,陳龍廷,四 7-9 本部 雲306會議室,30,4,◎課程開放上修,,1112
1567,TCC0006,臺文系（碩）,,,碩博,,,,臺灣研究日語文獻選讀（二）,Japanese Readings of Taiwan Documentary Studies (II),3.0,選,半,市川春樹,二 7-9 本部 雲306會議室,30,10,◎課程開放上修,,1112
1568,TCC0009,臺文系（碩）,,,碩博,,,,臺灣文化研究導論,Introduction to Studies in Taiwan Culture,3.0,必,半,陳龍廷,一 7-9 本部 雲306會議室,30,17,◎課程開放上修,,1112
1569,TCC1003,臺文系（碩）,,,碩博,是,,,文化認同與民族主義,Cultural Identity and Nationalism,3.0,選,半,林芳玫,三 7-9 本部 雲306會議室,30,9,◎課程開放上修,,1112
1570,TCC1008,臺文系（碩）,,,碩博,,,,當代社會學理論與臺灣文化研究,Contemporary Social Theory and Taiwan Cultural Studies,3.0,選,半,莊佳穎,三 2-4 本部 雲306會議室,30,16,◎課程開放上修,,1112
1571,TCC1028,臺文系（碩）,,,碩博,是,,,種間和想像的糾纏,Interspecies Entanglements,3.0,選,半,伊恩,二 2-4 本部 雲303,30,6,◎課程開放上修,,1112
1572,TCC2011,臺文系（碩）,,,碩博,是,,,荷蘭語言及文化研究,Studies on Dutch Language and Culture,3.0,選,半,賀安娟,二 7-9 本部 雲303,30,7,◎課程開放上修,,1112
1573,TCC2028,臺文系（碩）,,,碩博,,,,臺灣文學中的語言論述,Language Discourse in Taiwan Literature,3.0,選,半,呂美親,二 2-4 本部 雲306會議室,30,4,◎課程開放上修,,1112
1574,TCC2029,臺文系（碩）,,,碩博,,,,語音記錄與田野調查,Phonetic Description and Field Work,3.0,選,半,許慧如,一 2-4 本部 雲303,30,13,◎課程開放上修,◎臺語      授課,1112
1575,TCC2030,臺文系（碩）,,,碩博,,,,臺語句法學,Taiwanese Syntax,3.0,選,半,劉承賢,三 2-4 本部 雲303,30,7,◎課程開放上修,◎臺語      授課,1112
1576,TCC3008,臺文系（碩）,,,碩博,,,,旅遊與跨界文化書寫,Travel and Cross-Border Cultural Writing,3.0,選,半,林淑慧,四 2-4 本部 雲306會議室,30,9,◎課程開放上修,,1112
1577,TCC3030,臺文系（碩）,,,碩博,,,,飲食文學專題研究,Special Topics on Food Literature Studies,3.0,選,半,陳玉箴,一 2-4 本部 雲306會議室,30,12,◎課程開放上修,,1112
1578,TCC8301,臺文系（碩）,,,碩博,,,,臺灣同志文學專題研究,Special Topics on Taiwan Queer Literature,3.0,選,半,曾秀萍,五 8-10 本部 雲306會議室,30,7,◎課程開放上修,,1112
2364,BAU0006,企管系（學）,,2.0,,,,,管理科學模式,Management Science Model,3.0,必,半,施人英,五 6-8 本部 教401,55,59,◎必須先修過【BAU0049  管理數學】,,1112
3105,PGUA005,基礎管理學程,,,,,,,會計學,Accounting,3.0,必,半,劉福運,四 A-C 本部 誠109,50,66,◎初選 基礎管理學程 研究生得下修◎限基礎管理學程選修,,1112
3106,PGUA007,基礎管理學程,,,,,,,統計學,Statistics,3.0,必,半,周世玉 徐美,三 7-9 本部 誠207,50,32,◎初選 基礎管理學程 研究生得下修◎限基礎管理學程選修,,1112
3107,PGUA022,基礎管理學程,,,,,,,策略管理,Strategic Management,3.0,選,半,徐景輝,三 A-C 本部 誠301,50,25,◎初選 基礎管理學程 研究生得下修◎限基礎管理學程選修,,1112
3108,PGUA025,基礎管理學程,,,,,,,基礎商業資料視覺化與溝通,Basic Business Data Visualization and Communication,3.0,選,半,黃浩霆,一 A-C 本部 誠305,50,16,◎初選 基礎管理學程 研究生得下修,◎臺語      授課 本課程主要會用台語授課,1112
3147,H5C9001,科技學院,,,大碩,,,,職場倫理,Career Ethics,2.0,選,半,張敬珣,三 3-4 本部 工教系會議室,50,60,,,1112
1126,ITC9001,科技系（學）,,,大碩,,,,機電整合實務,Mechatronics Practice,3.0,選,半,支裕文 洪嘉駿,三 10-B 本部 科技系TB310教室,30,27,,師資生優先選課,1112
1127,ITC9006,科技系（學）,,,大碩,是,,,製造業人力資源發展研究,Studies in Human Resource Development for Manufacturing Industries,3.0,選,半,張敬珣,一 7-9 本部 科技系TB210教室,30,10,,,1112
1128,ITC9011,科技系（學）,,,大碩,,,,人員數據分析,Studies in People Analytics,3.0,必,半,孫弘岳,二 7-9 本部 科技系TA509教室,30,41,◎必須先修過【ITU0057  人力資源管理】,學士班:學科組優先選課  碩士班:授權碼,1112
1129,ITU0004,科技系（學）,,1.0,,,,,圖學,Graphics,3.0,必,半,蔡其瑞,一 7-10 本部 科技系TA509教室,35,38,,設科組優先選課,1112
1130,ITU0057,科技系（學）,,1.0,,是,,,人力資源管理,Human Resource Management,3.0,必,半,孫弘岳,一 7-9 本部 科技系TB311教室,35,45,,學科組優先選課,1112
1131,ITU0082,科技系（學）,,1.0,,,,,數位學習理論與實務,E-Learning Theory and Practice,3.0,選,半,許庭嘉,二 2-4 本部 科技系TA509教室,35,32,,學科組優先選課,1112
1132,ITU2063,科技系（學）,,1.0,,,,,設計素描與表現技法,Sketch and Presentation Technique for Design,3.0,選,半,耿剛,二 2-4 本部 科技系TB213教室,35,32,,設科組優先選課,1112
1133,ITU0008,科技系（學）,,1.0,甲,,,,計算機概論,Introduction to Computer Science,3.0,必,半,許庭嘉,四 7-9 本部 科技系TA509教室,35,44,,,1112
1134,ITU0028,科技系（學）,,1.0,甲,,,,電腦影像處理,Image Processing,3.0,必,半,張玉山,四 2-4 本部 教401,50,42,,,1112
1135,ITU0005,科技系（學）,,1.0,乙,,,,基本設計,Basic Design,3.0,必,半,簡佑宏,二 7-9 本部 科技系TB310教室,35,36,,,1112
1136,ITU0165,科技系（學）,,1.0,乙,,,,電子電路,Electronic and Electric Circuits,3.0,必,半,丁玉良 曾騰輝,四 2-4 本部 科技系TC411教室,35,38,,,1112
1137,ITU1004,科技系（學）,,1.0,乙,,,,人力資源發展概論,Introduction to Human Resource Development,3.0,必,半,孫弘岳,三 7-9 本部 科技系TB311教室,35,38,,,1112
1138,ITU0050,科技系（學）,,2.0,,,,,資料結構,Data Structure,3.0,必,半,蔡芸琤,一 7-9 本部 科技系TB213教室,35,30,◎必須先修過(也可以同時修)【ITU0127  程式語言】,學科組優先選課,1112
1139,ITU0135,科技系（學）,,2.0,,,,,網際網路程式設計,Internet Programming,3.0,選,半,吳姈蓉,四 10-B 本部 科技系TA509教室,35,43,,學科組優先選課,1112
1140,ITU0158,科技系（學）,,2.0,,是,,,木器設計與製造,Wooden Product Design and Manufacture,3.0,選,半,林弘昌,二 1-4 本部 科技系TC501教室,30,31,◎必須先修過【ITU0002  木工製造】,設科組優先選課,1112
1141,ITU0163,科技系（學）,,2.0,,,,,結構設計,Structural Design,3.0,選,半,陳沛清,五 7-9 本部 科技系TB213教室,35,40,,師資生優先選課,1112
1142,ITU0166,科技系（學）,,2.0,,,,,科技系統與社會發展,Technological System and Social Development,2.0,選,半,蔡其瑞,一 3-4 本部 科技系TB311教室,35,40,,師資生優先選課,1112
1143,ITU2003,科技系（學）,,2.0,,,,,造形原理,Principles of Shaping,3.0,選,半,耿剛,二 6-8 本部 科技系TB213教室,35,26,,設科組優先選課,1112
1144,ITU2057,科技系（學）,,2.0,,,,,金屬產品設計與製作,Metal Product Design and Making,3.0,選,半,蔡其瑞,五 2-4 本部 科技系TB310教室,35,28,◎必須先修過【ITU0001  機械製造】,設科組優先選課,1112
1145,ITU0127,科技系（學）,,2.0,乙,,,,程式語言,Programming Language,3.0,必,半,蔡芸琤,四 2-4 本部 科技系TB311教室,35,37,,,1112
1146,ITU0043,科技系（學）,,3.0,,,,,電腦動畫,Computer Animation,3.0,必,半,周賢彬,一 A-C 本部 教403,37,40,,學科組優先選課,1112
1147,ITU0155,科技系（學）,A,3.0,,,,,專題製作（一）,Capstone Projects (I),1.0,必,半,林弘昌 陳怡靜 丁玉良,五 C-D 本部 科技系TC411教室,50,14,,,1112
1148,ITU0155,科技系（學）,B,3.0,,,,,專題製作（一）,Capstone Projects (I),1.0,必,半,簡佑宏,五 C-D 本部 科技系TB310教室,50,15,,,1112
1149,ITU0155,科技系（學）,C,3.0,,,,,專題製作（一）,Capstone Projects (I),1.0,必,半,許庭嘉 蔡其瑞 孫弘岳,五 C-D 本部 科技系TB213教室,50,14,,,1112
1150,ITU0155,科技系（學）,D,3.0,,,,,專題製作（一）,Capstone Projects (I),1.0,必,半,蔡芸琤,五 C-D 本部 科技系TB212教室,50,10,,,1112
1151,ITU0162,科技系（學）,,3.0,,,,,工程設計,Engineering Design,3.0,選,半,汪殿杰,四 10-B 本部 科技系TB310教室,35,33,,師資生優先選課,1112
1152,ITU2005,科技系（學）,,3.0,,,,,計算機結構,Computer Architecture,3.0,選,半,吳姈蓉,二 10-B 本部 科技系TA509教室,35,40,,學科組優先選課,1112
1153,ITU2035,科技系（學）,,3.0,,,,,人因工程,Human Factors Engineering,3.0,必,半,簡佑宏,四 7-9 本部 科技系TB310教室,35,30,,設科組優先選課,1112
1154,ITU2079,科技系（學）,,3.0,,,,,系統分析與設計,System Analysis and Design,3.0,必,半,蔡芸琤,二 7-9 本部 科技系TB211教室,35,33,◎必須先修過【ITU0050  資料結構】,學科組優先選課,1112
1155,ITU2083,科技系（學）,,3.0,,,,,製造科技,Manufacturing Technology,3.0,必,半,林弘昌,一 2-4 本部 科技系TC501教室,30,23,◎必須先修過【ITU0002  木工製造】,設科組優先選課,1112
1156,ITUE101,科技系（學）,,3.0,,,,,生活科技科教材教法（教）,Teaching Materials and Methods: Living Technology,2.0,選,半,林坤誼,四 3-4 本部 科技系TB213教室,30,17,,,1112
1157,ITUE310,科技系（學）,,3.0,,,,,生活科技科教學實習（二）（教）,Teaching Practicum: Living Technology(II),2.0,選,半,張玉山,一 7-10 本部 科技系TD301教室,30,14,◎必須先修過【ITUE210  生活科技科教學實習（一）（教）】,,1112
8096,00UE002,國訓學士班,,,,,,,教育心理學（教）,Educational Psychology,2.0,選,半,國訓教師,,0,1,,,1112
8069,00UE003,國訓學士班,,,,,,,教育哲學（教）,Philosophy of Education,2.0,選,半,國訓教師,,0,2,,,1112
8097,00UE004,國訓學士班,,,,,,,教育社會學（教）,Sociology of Education,2.0,選,半,國訓教師,,0,1,,,1112
8043,00UE005,國訓學士班,,,,,,,教學原理（教）,Principles of Instruction,2.0,選,半,國訓教師,,0,1,,,1112
8035,00UE006,國訓學士班,,,,,,,班級經營（教）,Classroom Management,2.0,選,半,國訓教師,,0,1,,,1112
8009,00UE008,國訓學士班,,,,,,,輔導原理與實務（教）,Principle and Practice of Guidance,2.0,選,半,國訓教師,,0,2,,,1112
8109,00UE037,國訓學士班,,,,,,,現代教育思潮（教）,Studies of Contemporary Educational Thoughts,2.0,選,半,國訓教師,,0,1,,,1112
8036,00UE074,國訓學士班,,,,,,,學習評量（教）,Learning Assessment,2.0,選,半,國訓教師,,0,3,,,1112
8062,00UE075,國訓學士班,,,,,,,課程發展與設計（教）,Curriculum Development and Design,2.0,選,半,國訓教師,,0,1,,,1112
8070,00UE311,國訓學士班,,,,,,,教育議題專題（教）,Education Issues,2.0,選,半,國訓教師,,0,1,,,1112
496,00UE001,師培學院,A,,,,,,教育概論（教）,Introduction to Education,2.0,選,半,陳伊琳,二 3-4 本部 樸203,50,43,,,1112
497,00UE001,師培學院,B,,,,,,教育概論（教）,Introduction to Education,2.0,選,半,鄭英傑,二 3-4 本部 樸306,50,39,,,1112
498,00UE001,師培學院,C,,,,,,教育概論（教）,Introduction to Education,2.0,選,半,葉坤靈,三 6-7 本部 樸401,50,50,,,1112
499,00UE001,師培學院,D,,,,,,教育概論（教）,Introduction to Education,2.0,選,半,葉坤靈,三 8-9 本部 樸401,50,50,,,1112
500,00UE001,師培學院,E,,,,,,教育概論（教）,Introduction to Education,2.0,選,半,劉蔚之,五 3-4 本部 教310,50,40,,,1112
501,00UE002,師培學院,A,,,,,,教育心理學（教）,Educational Psychology,2.0,選,半,王淑麗,四 8-9 本部 誠203,50,60,,,1112
502,00UE002,師培學院,B,,,,,,教育心理學（教）,Educational Psychology,2.0,選,半,張文哲,四 9-10 本部 教511,50,55,,,1112
503,00UE002,師培學院,C,,,,,,教育心理學（教）,Educational Psychology,2.0,選,半,張文哲,五 9-10 本部 教511,50,52,,,1112
504,00UE002,師培學院,D,,,,,,教育心理學（教）,Educational Psychology,2.0,選,半,張祐瑄,一 6-7 本部 樸301,50,59,,,1112
505,00UE002,師培學院,E,,,,,,教育心理學（教）,Educational Psychology,2.0,選,半,劉宜芳,一 9-10 本部 誠307,50,12,,,1112
506,00UE002,師培學院,F,,,,,,教育心理學（教）,Educational Psychology,2.0,選,半,顏妙璇,一 3-4 公館 Ｅ202,60,55,,,1112
507,00UE003,師培學院,A,,,,,,教育哲學（教）,Philosophy of Education,2.0,選,半,陳伊琳,一 3-4 本部 正305,50,60,,,1112
508,00UE003,師培學院,B,,,,,,教育哲學（教）,Philosophy of Education,2.0,選,半,陳伊琳,一 8-9 本部 樸401,50,59,,,1112
509,00UE003,師培學院,C,,,,,,教育哲學（教）,Philosophy of Education,2.0,選,半,林秀珍,四 1-2 本部 樸301,50,30,,,1112
510,00UE004,師培學院,A,,,,,,教育社會學（教）,Sociology of Education,2.0,選,半,蔡進雄,三 A-B 本部 誠208,50,70,,,1112
511,00UE004,師培學院,B,,,,,,教育社會學（教）,Sociology of Education,2.0,選,半,許殷宏,二 3-4 本部 正404,50,59,,,1112
512,00UE004,師培學院,C,,,,,,教育社會學（教）,Sociology of Education,2.0,選,半,許殷宏,二 6-7 本部 樸401,50,59,,,1112
513,00UE004,師培學院,D,,,,,,教育社會學（教）,Sociology of Education,2.0,選,半,鄭英傑,四 3-4 本部 誠203,50,47,,,1112
514,00UE005,師培學院,A,,,,,,教學原理（教）,Principles of Instruction,2.0,選,半,王秀玲,四 6-7 本部 樸302,50,50,,,1112
515,00UE005,師培學院,B,,,,,,教學原理（教）,Principles of Instruction,2.0,選,半,王秀玲,四 9-10 本部 樸302,50,50,,,1112
516,00UE005,師培學院,C,,,,,,教學原理（教）,Principles of Instruction,2.0,選,半,王力億,四 3-4 本部 誠104,50,47,,,1112
517,00UE005,師培學院,D,,,,,,教學原理（教）,Principles of Instruction,2.0,選,半,王力億,四 6-7 本部 誠104,50,50,,,1112
518,00UE006,師培學院,A,,,,,,班級經營（教）,Classroom Management,2.0,選,半,張民杰,四 3-4 本部 樸301,50,60,,,1112
519,00UE006,師培學院,B,,,,,,班級經營（教）,Classroom Management,2.0,選,半,張哲榕,一 9-10 本部 誠207,50,60,,,1112
520,00UE006,師培學院,C,,,,,,班級經營（教）,Classroom Management,2.0,選,半,張哲榕,一 A-B 本部 誠207,50,60,,,1112
521,00UE006,師培學院,D,,,,,,班級經營（教）,Classroom Management,2.0,選,半,楊傳蓮,二 3-4 公館 Ｓ601,50,29,,,1112
522,00UE006,師培學院,E,,,,,,班級經營（教）,Classroom Management,2.0,選,半,方素琦,四 8-9 公館 Ｓ506,33,30,,,1112
523,00UE008,師培學院,A,,,,,,輔導原理與實務（教）,Principle and Practice of Guidance,2.0,選,半,陳淑琦,四 9-10 本部 誠208,50,54,,,1112
524,00UE008,師培學院,B,,,,,,輔導原理與實務（教）,Principle and Practice of Guidance,2.0,選,半,陳淑琦,四 A-B 本部 誠208,50,51,,,1112
525,00UE008,師培學院,C,,,,,,輔導原理與實務（教）,Principle and Practice of Guidance,2.0,選,半,吳淑禎,四 3-4 公館 Ｓ601,50,50,,,1112
526,00UE008,師培學院,D,,,,,,輔導原理與實務（教）,Principle and Practice of Guidance,2.0,選,半,吳淑禎,一 3-4 本部 樸401,50,59,,,1112
527,00UE008,師培學院,E,,,,,,輔導原理與實務（教）,Principle and Practice of Guidance,2.0,選,半,吳淑禎,一 6-7 本部 樸401,50,32,,選修此課需外加實地實習10-12週，每週1次。視疫情情況，決定是否外加實地實習．,1112
528,00UE018,師培學院,,,,,,,青少年心理學（教）,Adolescents Psychology,2.0,選,半,戴汝卉,四 A-B 本部 教103,50,62,,,1112
529,00UE037,師培學院,A,,,,,,現代教育思潮（教）,Studies of Contemporary Educational Thoughts,2.0,選,半,林秀珍,二 1-2 本部 正301,50,38,,,1112
530,00UE037,師培學院,B,,,,,,現代教育思潮（教）,Studies of Contemporary Educational Thoughts,2.0,選,半,林秀珍,二 3-4 本部 正301,50,18,,,1112
531,00UE057,師培學院,,,,,,,性別教育（教）,Gender Education,2.0,選,半,張宜君,四 3-4 本部 正201,50,53,,,1112
532,00UE059,師培學院,A,,,,,,特殊教育導論（教）,Introduction to Special Education,3.0,選,半,林淑莉,二 6-8 本部 特103,40,41,,,1112
533,00UE059,師培學院,B,,,,,,特殊教育導論（教）,Introduction to Special Education,3.0,選,半,李偉清,四 10-B 本部 誠207,45,42,,,1112
534,00UE059,師培學院,C,,,,,,特殊教育導論（教）,Introduction to Special Education,3.0,選,半,張素貞,四 10-B 公館 Ｓ602,50,60,,,1112
535,00UE059,師培學院,D,,,,,,特殊教育導論（教）,Introduction to Special Education,3.0,選,半,王宣惠,二 9-A 本部 特112,40,32,,,1112
536,00UE073,師培學院,,,,是,,,資優教育概論（教）,Introduction to Education for the Gifted,2.0,選,半,戴孜?,三 10-A 本部 特115,10,4,,,1112
537,00UE074,師培學院,A,,,,,,學習評量（教）,Learning Assessment,2.0,選,半,葉怡芬,四 3-4 本部 樸401,50,16,,,1112
538,00UE074,師培學院,B,,,,,,學習評量（教）,Learning Assessment,2.0,選,半,葉怡芬,四 6-7 公館 Ｓ601,50,35,,,1112
539,00UE074,師培學院,C,,,,,,學習評量（教）,Learning Assessment,2.0,選,半,林碧芳,三 6-7 本部 誠302,50,80,,,1112
540,00UE074,師培學院,D,,,,,,學習評量（教）,Learning Assessment,2.0,選,半,王力億,五 6-7 本部 誠104,50,50,,,1112
541,00UE074,師培學院,E,,,,,,學習評量（教）,Learning Assessment,2.0,選,半,林小慧,二 3-4 本部 樸402,50,15,,,1112
4745,00UE074,師培學院,F,,,,,,學習評量（教）,Learning Assessment,2.0,選,半,葉怡芬,五 3-4 本部 正205,50,38,,,1112
542,00UE075,師培學院,A,,,,,,課程發展與設計（教）,Curriculum Development and Design,2.0,選,半,莊德仁,二 10-A 本部 誠106,45,28,,,1112
543,00UE075,師培學院,B,,,,,,課程發展與設計（教）,Curriculum Development and Design,2.0,選,半,范雅筑,四 1-2 本部 誠107,50,46,,,1112
544,00UE075,師培學院,C,,,,,,課程發展與設計（教）,Curriculum Development and Design,2.0,選,半,何雅芬,二 A-B 本部 誠104,50,53,,,1112
545,00UE075,師培學院,D,,,,,,課程發展與設計（教）,Curriculum Development and Design,2.0,選,半,何雅芬,三 A-B 本部 誠104,50,54,,,1112
546,00UE075,師培學院,E,,,,,,課程發展與設計（教）,Curriculum Development and Design,2.0,選,半,葉怡芬,四 8-9 公館 Ｓ601,50,19,,,1112
547,00UE076,師培學院,A,,,,,,教學媒體與運用（教）,Instructional Medium,2.0,選,半,顏龍源,四 10-A 公館 理圖801,50,12,,,1112
548,00UE076,師培學院,B,,,,,,教學媒體與運用（教）,Instructional Medium,2.0,選,半,鄭子善,一 1-2 公館 理圖801,50,27,,,1112
549,00UE076,師培學院,C,,,,,,教學媒體與運用（教）,Instructional Medium,2.0,選,半,鄭子善,二 1-2 本部 教401,50,46,,,1112
550,00UE076,師培學院,D,,,,,,教學媒體與運用（教）,Instructional Medium,2.0,選,半,鄭子善,二 3-4 本部 教401,50,37,,,1112
551,00UE079,師培學院,,,,,,,教師素養（教）,Professional Literacy for Teachers,2.0,選,半,莊德仁,一 10-A 本部 誠106,45,45,,,1112
552,00UE080,師培學院,,,,,,,教師專業發展（教）,Teacher Professional Development,2.0,選,半,桑慧芬,三 9-10 公館 Ｓ101,50,61,,,1112
553,00UE084,師培學院,,,,,,,實地學習（一）（教）,Field Lesson(I),0.0,選,半,張文華,,50,0,◎第一階段需人工加選◎第二階段需人工加選◎加退選階段需人工加選,本課程係期末彙整實地學習時數加註成績單用，不涉選課。如欲採認實地學習時數請洽各系辦或師培課程組。,1112
554,00UE085,師培學院,,,,,,,實地學習（二）（教）,Field Lesson(II),0.0,選,半,張文華,,50,0,◎第一階段需人工加選◎第二階段需人工加選◎加退選階段需人工加選,本課程係期末彙整實地學習時數加註成績單用，不涉選課。如欲採認實地學習時數請洽各系辦或師培課程組。,1112
555,00UE086,師培學院,,,,,,,實地學習（三）（教）,Field Lesson(III),0.0,選,半,張文華,,50,0,◎第一階段需人工加選◎第二階段需人工加選◎加退選階段需人工加選,本課程係期末彙整實地學習時數加註成績單用，不涉選課。如欲採認實地學習時數請洽各系辦或師培課程組。,1112
556,00UE087,師培學院,,,,,,,實地學習（A）（教）,Field Lesson(A),0.0,選,半,張文華,,50,0,◎第一階段需人工加選◎第二階段需人工加選◎加退選階段需人工加選,本課程係期末彙整實地學習時數加註成績單用，不涉選課。如欲採認實地學習時數請洽各系辦或師培課程組。,1112
557,00UE088,師培學院,,,,,,,實地學習（B）（教）,Field Lesson(B),0.0,選,半,張文華,,50,0,◎第一階段需人工加選◎第二階段需人工加選◎加退選階段需人工加選,本課程係期末彙整實地學習時數加註成績單用，不涉選課。如欲採認實地學習時數請洽各系辦或師培課程組。,1112
558,00UE089,師培學院,,,,,,,實地學習（C）（教）,Field Lesson(C),0.0,選,半,張文華,,50,0,◎第一階段需人工加選◎第二階段需人工加選◎加退選階段需人工加選,本課程係期末彙整實地學習時數加註成績單用，不涉選課。如欲採認實地學習時數請洽各系辦或師培課程組。,1112
559,00UE094,師培學院,,,,,,,數學探究與實作（教）,Inquiry and Practice in Mathematics,2.0,選,半,謝佳叡,四 9-10 公館 數學館M212,50,39,,,1112
560,00UE097,師培學院,,,,,,,親職教育與親師合作（教）,Parent Education : Families and Schools Working Together,2.0,選,半,張民杰,三 6-7 本部 樸301,50,60,,,1112
561,00UE099,師培學院,A,,,,,,教育政策與法令（教）,Education Policy and Law,2.0,選,半,桑慧芬,二 A-B 本部 誠108,50,42,,,1112
562,00UE099,師培學院,B,,,,,,教育政策與法令（教）,Education Policy and Law,2.0,選,半,魯先華,二 8-9 公館 Ｓ601,50,36,,,1112
563,00UE099,師培學院,C,,,,,,教育政策與法令（教）,Education Policy and Law,2.0,選,半,魯先華,二 3-4 本部 樸401,50,49,,,1112
564,00UE099,師培學院,D,,,,,,教育政策與法令（教）,Education Policy and Law,2.0,選,半,林威志,四 A-B 本部 誠205,50,12,,,1112
565,00UE101,師培學院,,,,,,,教育行動研究（教）,Education Action Research,2.0,選,半,吳淑禎,三 6-7 公館 Ｓ203,50,24,,,1112
